feature,importance_mean,importance_std
binding_type,0.7696758913649356,0.007064577691795049
improving,0.3635313596657507,0.004921843770694062
HB Energy,0.038607084642598564,0.0007363220444133042
Hydrophobic Energy,0.007466445726937288,0.0002840757190307911
Delta_Entropy,0.0058551190874553075,0.0003079419631912968
run,0.005277947573520547,0.00012270678914607115
ESURF,0.004055410723738673,0.00020597830847031345
Pi-Pi Energy,0.002803480058316876,0.0001642982282630712
VDWAALS,0.002517911882247814,0.00011425622099250919
EEL,0.0023369879642321733,0.0001378119602284717
EGB,0.0019151382574578713,0.00010797366828191618
